"ID","x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","x13","x14","x15","Low shear visc","High shear visc","Toughness","Stress at break","Strain at break"
"0-10-0-10-0-30-0-0-0-50",0.614404531014818,0.54075432690442,0.42184051252782,0.302370693392031,0.194325612447976,0.117417598383429,0.0747876287645759,0.0519332622911578,0.0271437229296498,0.0112233131220125,0.00337936626493766,0.000722091619285142,0.000282053016379742,0.000129253793785579,0.0000671835590244239,"","","","",""
"0-10-0-10-0-0-30-0-50-0",0.363838775525088,0.456631081347939,0.479904102342137,0.450102383729234,0.362833182076948,0.245833219811608,0.151152060410789,0.0940273508579051,0.0456473171025043,0.0180655368000521,0.00529619431507778,0.00104274190995081,0.000357116959137464,0.000113349968955185,0.0000329980923251631,"","","","",""
"0-10-0-10-0-0-30-0-0-50",0.572620969546182,0.511573749402014,0.42763253572418,0.345784097365661,0.253220996788347,0.165200376341003,0.103408613126053,0.0672455549500515,0.03365064144496,0.0135772148177547,0.00404422440537189,0.000864056681054966,0.000337505361793134,0.000154665420688159,0.0000803920187989067,"","","","",""
"0-10-0-10-0-0-0-30-50-0",0.360843249447879,0.445635064294039,0.452035773153607,0.420294672415964,0.356438163894061,0.272974219353892,0.205709901687041,0.161227664296333,0.103144808073759,0.076484195048115,0.0557660472107876,0.026574598102635,0.00621330881820731,0.00046921848604946,0.0000651622709372795,"","","","",""
"0-10-0-10-0-0-0-30-0-50",0.669005193439705,0.52059021510308,0.370598194149207,0.261419828213685,0.181874840193997,0.131310476261311,0.104902844420806,0.088469891645991,0.0585182951159545,0.043684748227134,0.0317252114638313,0.015152230312031,0.00362242857585221,0.000373735555116375,0.000122265532931535,"","","","",""
"0-10-0-0-30-10-0-0-50-0",0.429369977002987,0.493408520470682,0.471071550350679,0.405881524281143,0.314886546401885,0.219224825281419,0.148746335372386,0.103534568446314,0.0556805872078246,0.0349324708296975,0.0309694499861654,0.0140797296846481,0.00229635163510892,0.000263967281951232,0.0000579489771187858,"","","","",""
"0-10-0-0-30-10-0-0-0-50",0.644625477247319,0.531594490804009,0.396181647717647,0.282080813050094,0.188859854029639,0.124145405697845,0.0875715337570406,0.0651011549841653,0.0363192014871313,0.0230423234017632,0.0202654184431251,0.00924434682000496,0.00157895224401735,0.000256794858366428,0.000104858965054932,"","","","",""
"0-10-0-0-30-0-10-0-50-0",0.364322931526266,0.45364139991103,0.468690603830503,0.438200489126591,0.362537365978199,0.259414354870083,0.174079616663339,0.118042958751031,0.0624108319092328,0.0387548704839799,0.0342694856865635,0.0155798899554559,0.00254102220535084,0.00029209234102876,0.000064123296878798,"","","","",""
"0-10-0-0-30-0-10-0-0-50",0.630295303386146,0.519159057482603,0.397257875150499,0.299724252093804,0.214309462962526,0.145690207451404,0.101248391507261,0.0729928559426798,0.0399945967693154,0.0251158640483923,0.0220330285015362,0.0100505739783705,0.00171665739568195,0.00027919070665888,0.000114004029284072,"","","","",""
"0-10-0-0-30-0-0-10-50-0",0.362738698715733,0.448061355162616,0.45474202485139,0.423439215018003,0.359563163725151,0.272415955446633,0.199491467764157,0.148159196418626,0.0870210865919035,0.0650036829036722,0.0605695400945863,0.0288490383934426,0.00521095316777279,0.000469090747720356,0.0000849328008736544,"","","","",""
